post_id	post_name	status	price_from	price_to
14397	4771-revision-v1	inherit	2515	4855
14398	4067-revision-v1	inherit	2590	5763
14402	3155-revision-v1	inherit	2549	5666
14403	3174-revision-v1	inherit	2835	6767
14404	2818-revision-v1	inherit	2724	7268
14405	9082-revision-v1	inherit	2506	6140
14516	3186-revision-v1	inherit	2240	6160
14517	3186-revision-v1	inherit	2240	6160
14541	10903-revision-v1	inherit	1400000	1400000
14575	13105-revision-v1	inherit	2240	5040
14576	13105-revision-v1	inherit	2240	5040
14578	10920-revision-v1	inherit	1463	3510
14581	13105-revision-v1	inherit	2620	5895
14582	2894-revision-v1	inherit	2140	5894
14583	3322-revision-v1	inherit	2095	4977
14584	4067-revision-v1	inherit	2851	6342
14585	9082-revision-v1	inherit	2806	6920
14586	3524-revision-v1	inherit	2367	5370
14587	4771-revision-v1	inherit	2816	5436
14588	3155-revision-v1	inherit	2854	6343
14589	4001-revision-v1	inherit	4038	7272
14590	3174-revision-v1	inherit	3172	7576
18938	9082-revision-v1	inherit	4300	9496
14591	2929-revision-v1	inherit	2854	7715
14592	6998-revision-v1	inherit	5299	13687
14593	9998-revision-v1	inherit	3508	9496
14594	2782-revision-v1	inherit	3049	9679
14595	4435-revision-v1	inherit	2854	7715
14596	2818-revision-v1	inherit	3049	8136
14597	9129-revision-v1	inherit	14028	2875
14598	3186-revision-v1	inherit	2620	7204
14599	2751-revision-v1	inherit	3049	9679
14606	6998-revision-v1	inherit	5299	13687
14608	3186-revision-v1	inherit	2620	7204
14635	3524-revision-v1	inherit	2579	6197
14636	3174-revision-v1	inherit	3172	7576
14637	3524-revision-v1	inherit	2575	6211
14640	3322-revision-v1	inherit	2095	4977
14641	3524-revision-v1	inherit	2575	6211
14642	3174-revision-v1	inherit	3172	7576
14733	3186-revision-v1	inherit	2620	7204
14874	10920-revision-v1	inherit	2032	4183
14879	2894-revision-v1	inherit	2140	5894
14881	4067-revision-v1	inherit	2851	6342
14882	3155-revision-v1	inherit	2854	6343
14883	4001-revision-v1	inherit	4038	7272
14884	2929-revision-v1	inherit	2854	7715
14885	4435-revision-v1	inherit	2854	7715
14886	2818-revision-v1	inherit	3049	8136
14890	4771-revision-v1	inherit	2816	5436
14901	4067-revision-v1	inherit	2851	6342
14909	4473-revision-v1	inherit	8000	12000
14910	4473-revision-v1	inherit	8000	12000
15056	4067-revision-v1	inherit	2851	6342
16605	9082-revision-v1	inherit	2806	6920
16696	3174-revision-v1	inherit	3172	7576
16697	3174-revision-v1	inherit	3172	7576
16698		draft	2854	7715
16699	beautiful-ibiza-villa-with-private-security	draft	5142	10258
16700	16699-revision-v1	inherit	8000	12000
16701	16699-revision-v1	inherit	2700000	
16702	16699-revision-v1	inherit	2700000	
16704	16699-revision-v1	inherit	2700000	
16717	6998-revision-v1	inherit	5299	13687
16757	9998-revision-v1	inherit	3508	9496
16758	2782-revision-v1	inherit	3049	9679
16759	3155-revision-v1	inherit	2854	6343
16760	4435-revision-v1	inherit	2854	7715
16761	10920-revision-v1	inherit	2032	4183
16827	4732-revision-v1	inherit	3688	8775
16828	4732-revision-v1	inherit	3688	8775
16863	4067-autosave-v1	inherit	2851	6342
16864	4067-revision-v1	inherit	2851	6342
17137	3155-revision-v1	inherit	2854	6343
17145	3155-revision-v1	inherit	2854	6343
17175	4067-revision-v1	inherit	2851	6342
17183	4067-revision-v1	inherit	2851	6342
17235	3155-revision-v1	inherit	2854	6343
17236	3155-revision-v1	inherit	2854	6343
17238	3155-revision-v1	inherit	2854	6343
17239	3155-revision-v1	inherit	2854	6343
17240	3155-revision-v1	inherit	2854	6343
17241	3155-revision-v1	inherit	2854	6343
17252	3186-revision-v1	inherit	2620	7204
17268	3186-revision-v1	inherit	2620	7204
17283	2782-revision-v1	inherit	3272	10418
17285	6998-revision-v1	inherit	5700	14730
17286	9082-revision-v1	inherit	3020	7917
17287	2818-revision-v1	inherit	3280	8753
17288	3186-revision-v1	inherit	3524	7755
17289	4067-revision-v1	inherit	3069	7722
17290	2894-revision-v1	inherit	2306	6344
17291	3322-revision-v1	inherit	2257	5359
17292	9998-revision-v1	inherit	3767	10223
17293	4771-revision-v1	inherit	2558	5854
17294	3155-revision-v1	inherit	3069	7722
17295	3524-revision-v1	inherit	3045	7040
17296	3174-revision-v1	inherit	3119	6666
17297	4435-revision-v1	inherit	3069	8307
17314	4732-revision-v1	inherit	8050	11500
17319	2782-revision-v1	inherit	3126	9915
17320	6998-revision-v1	inherit	5434	14013
17321	9082-revision-v1	inherit	2886	7537
17322	2818-revision-v1	inherit	3135	8338
17323	3186-revision-v1	inherit	3365	7540
17324	4067-revision-v1	inherit	2936	7423
17325	2894-revision-v1	inherit	2206	6041
17326	3322-revision-v1	inherit	2449	5107
17327	9998-revision-v1	inherit	3604	9727
17328	4771-revision-v1	inherit	2452	5576
17329	3155-revision-v1	inherit	2936	6612
17330	3524-revision-v1	inherit	2909	6707
17331	3174-revision-v1	inherit	2816	5742
